total_number_messages_human;total_number_messages_agent;average_message_length_human;average_message_length_agent;world_nr;tick_nr
0;0;nan;nan;1;0
0;0;nan;nan;1;1
1;1;1.0;156.0;1;2
1;1;1.0;156.0;1;3
1;1;1.0;156.0;1;4
1;1;1.0;156.0;1;5
1;1;1.0;156.0;1;6
1;1;1.0;156.0;1;7
1;1;1.0;156.0;1;8
1;1;1.0;156.0;1;9
1;1;1.0;156.0;1;10
1;1;1.0;156.0;1;11
1;1;1.0;156.0;1;12
1;1;1.0;156.0;1;13
1;1;1.0;156.0;1;14
1;1;1.0;156.0;1;15
1;1;1.0;156.0;1;16
1;1;1.0;156.0;1;17
1;1;1.0;156.0;1;18
1;1;1.0;156.0;1;19
1;1;1.0;156.0;1;20
1;1;1.0;156.0;1;21
1;1;1.0;156.0;1;22
1;1;1.0;156.0;1;23
1;1;1.0;156.0;1;24
1;1;1.0;156.0;1;25
1;1;1.0;156.0;1;26
1;1;1.0;156.0;1;27
1;1;1.0;156.0;1;28
1;1;1.0;156.0;1;29
1;1;1.0;156.0;1;30
1;1;1.0;156.0;1;31
1;1;1.0;156.0;1;32
1;1;1.0;156.0;1;33
1;1;1.0;156.0;1;34
1;1;1.0;156.0;1;35
1;1;1.0;156.0;1;36
1;1;1.0;156.0;1;37
1;1;1.0;156.0;1;38
1;1;1.0;156.0;1;39
1;1;1.0;156.0;1;40
1;1;1.0;156.0;1;41
1;1;1.0;156.0;1;42
1;1;1.0;156.0;1;43
1;1;1.0;156.0;1;44
1;1;1.0;156.0;1;45
1;1;1.0;156.0;1;46
1;1;1.0;156.0;1;47
1;1;1.0;156.0;1;48
1;1;1.0;156.0;1;49
1;1;1.0;156.0;1;50
1;1;1.0;156.0;1;51
1;1;1.0;156.0;1;52
1;1;1.0;156.0;1;53
1;1;1.0;156.0;1;54
1;1;1.0;156.0;1;55
1;1;1.0;156.0;1;56
1;1;1.0;156.0;1;57
1;1;1.0;156.0;1;58
1;1;1.0;156.0;1;59
1;1;1.0;156.0;1;60
1;1;1.0;156.0;1;61
1;1;1.0;156.0;1;62
1;1;1.0;156.0;1;63
1;1;1.0;156.0;1;64
1;1;1.0;156.0;1;65
1;1;1.0;156.0;1;66
1;1;1.0;156.0;1;67
1;1;1.0;156.0;1;68
1;1;1.0;156.0;1;69
1;1;1.0;156.0;1;70
1;1;1.0;156.0;1;71
1;1;1.0;156.0;1;72
1;1;1.0;156.0;1;73
1;1;1.0;156.0;1;74
1;1;1.0;156.0;1;75
1;1;1.0;156.0;1;76
1;1;1.0;156.0;1;77
1;1;1.0;156.0;1;78
1;1;1.0;156.0;1;79
1;1;1.0;156.0;1;80
1;1;1.0;156.0;1;81
1;1;1.0;156.0;1;82
1;1;1.0;156.0;1;83
1;1;1.0;156.0;1;84
1;1;1.0;156.0;1;85
1;1;1.0;156.0;1;86
1;1;1.0;156.0;1;87
1;1;1.0;156.0;1;88
1;1;1.0;156.0;1;89
1;1;1.0;156.0;1;90
1;1;1.0;156.0;1;91
1;1;1.0;156.0;1;92
1;1;1.0;156.0;1;93
1;1;1.0;156.0;1;94
1;1;1.0;156.0;1;95
1;1;1.0;156.0;1;96
1;1;1.0;156.0;1;97
1;1;1.0;156.0;1;98
1;1;1.0;156.0;1;99
1;1;1.0;156.0;1;100
1;1;1.0;156.0;1;101
1;1;1.0;156.0;1;102
1;1;1.0;156.0;1;103
1;1;1.0;156.0;1;104
1;1;1.0;156.0;1;105
1;1;1.0;156.0;1;106
1;1;1.0;156.0;1;107
1;1;1.0;156.0;1;108
1;1;1.0;156.0;1;109
1;1;1.0;156.0;1;110
1;1;1.0;156.0;1;111
1;1;1.0;156.0;1;112
1;1;1.0;156.0;1;113
1;1;1.0;156.0;1;114
1;1;1.0;156.0;1;115
1;1;1.0;156.0;1;116
1;1;1.0;156.0;1;117
1;1;1.0;156.0;1;118
1;1;1.0;156.0;1;119
1;1;1.0;156.0;1;120
1;1;1.0;156.0;1;121
1;1;1.0;156.0;1;122
1;1;1.0;156.0;1;123
1;1;1.0;156.0;1;124
1;1;1.0;156.0;1;125
1;1;1.0;156.0;1;126
1;1;1.0;156.0;1;127
1;1;1.0;156.0;1;128
1;1;1.0;156.0;1;129
1;1;1.0;156.0;1;130
1;1;1.0;156.0;1;131
1;1;1.0;156.0;1;132
1;1;1.0;156.0;1;133
1;1;1.0;156.0;1;134
1;1;1.0;156.0;1;135
1;1;1.0;156.0;1;136
1;1;1.0;156.0;1;137
1;1;1.0;156.0;1;138
1;1;1.0;156.0;1;139
1;1;1.0;156.0;1;140
1;1;1.0;156.0;1;141
1;1;1.0;156.0;1;142
1;1;1.0;156.0;1;143
1;1;1.0;156.0;1;144
1;1;1.0;156.0;1;145
1;1;1.0;156.0;1;146
1;1;1.0;156.0;1;147
1;1;1.0;156.0;1;148
1;1;1.0;156.0;1;149
1;1;1.0;156.0;1;150
1;1;1.0;156.0;1;151
1;1;1.0;156.0;1;152
1;1;1.0;156.0;1;153
1;1;1.0;156.0;1;154
1;1;1.0;156.0;1;155
1;1;1.0;156.0;1;156
1;1;1.0;156.0;1;157
1;1;1.0;156.0;1;158
1;1;1.0;156.0;1;159
1;1;1.0;156.0;1;160
1;1;1.0;156.0;1;161
1;1;1.0;156.0;1;162
