done;agent_0_in_team_0_action;agent_0_in_team_0_location;human_0_in_team_0_action;human_0_in_team_0_location;world_nr;tick_nr
False;;(9, 23);;(10, 23);1;0
False;;(9, 23);MoveNorth;(10, 22);1;1
False;;(9, 23);;(10, 22);1;2
False;;(9, 23);;(10, 22);1;3
False;;(9, 23);;(10, 22);1;4
False;;(9, 23);;(10, 22);1;5
False;;(9, 23);;(10, 22);1;6
False;;(9, 23);;(10, 22);1;7
False;;(9, 23);;(10, 22);1;8
False;;(9, 23);;(10, 22);1;9
False;;(9, 23);;(10, 22);1;10
False;;(9, 23);;(10, 22);1;11
False;;(9, 23);;(10, 22);1;12
False;;(9, 23);;(10, 22);1;13
False;;(9, 23);;(10, 22);1;14
False;;(9, 23);;(10, 22);1;15
False;;(9, 23);;(10, 22);1;16
False;;(9, 23);;(10, 22);1;17
False;;(9, 23);;(10, 22);1;18
False;;(9, 23);;(10, 22);1;19
False;;(9, 23);;(10, 22);1;20
False;;(9, 23);;(10, 22);1;21
False;;(9, 23);;(10, 22);1;22
False;;(9, 23);;(10, 22);1;23
False;;(9, 23);;(10, 22);1;24
False;;(9, 23);;(10, 22);1;25
False;;(9, 23);;(10, 22);1;26
False;;(9, 23);;(10, 22);1;27
False;;(9, 23);;(10, 22);1;28
False;;(9, 23);;(10, 22);1;29
False;;(9, 23);;(10, 22);1;30
False;;(9, 23);;(10, 22);1;31
False;;(9, 23);;(10, 22);1;32
False;;(9, 23);;(10, 22);1;33
False;;(9, 23);;(10, 22);1;34
False;;(9, 23);;(10, 22);1;35
False;;(9, 23);;(10, 22);1;36
False;;(9, 23);;(10, 22);1;37
False;;(9, 23);;(10, 22);1;38
False;;(9, 23);;(10, 22);1;39
False;;(9, 23);;(10, 22);1;40
False;;(9, 23);;(10, 22);1;41
False;;(9, 23);;(10, 22);1;42
False;;(9, 23);;(10, 22);1;43
False;;(9, 23);;(10, 22);1;44
False;;(9, 23);;(10, 22);1;45
False;;(9, 23);;(10, 22);1;46
False;;(9, 23);;(10, 22);1;47
False;;(9, 23);;(10, 22);1;48
False;;(9, 23);;(10, 22);1;49
False;;(9, 23);;(10, 22);1;50
False;;(9, 23);;(10, 22);1;51
False;;(9, 23);;(10, 22);1;52
False;;(9, 23);;(10, 22);1;53
False;;(9, 23);;(10, 22);1;54
False;;(9, 23);;(10, 22);1;55
False;;(9, 23);;(10, 22);1;56
False;;(9, 23);;(10, 22);1;57
False;;(9, 23);;(10, 22);1;58
False;;(9, 23);;(10, 22);1;59
False;;(9, 23);;(10, 22);1;60
False;;(9, 23);;(10, 22);1;61
False;;(9, 23);;(10, 22);1;62
False;;(9, 23);;(10, 22);1;63
False;;(9, 23);;(10, 22);1;64
False;;(9, 23);;(10, 22);1;65
False;;(9, 23);;(10, 22);1;66
False;;(9, 23);;(10, 22);1;67
False;;(9, 23);;(10, 22);1;68
False;;(9, 23);;(10, 22);1;69
False;;(9, 23);;(10, 22);1;70
False;;(9, 23);;(10, 22);1;71
False;;(9, 23);;(10, 22);1;72
False;;(9, 23);;(10, 22);1;73
False;;(9, 23);;(10, 22);1;74
False;;(9, 23);;(10, 22);1;75
False;;(9, 23);;(10, 22);1;76
False;;(9, 23);;(10, 22);1;77
False;;(9, 23);;(10, 22);1;78
False;;(9, 23);;(10, 22);1;79
False;;(9, 23);;(10, 22);1;80
False;;(9, 23);;(10, 22);1;81
False;;(9, 23);;(10, 22);1;82
False;;(9, 23);;(10, 22);1;83
False;;(9, 23);;(10, 22);1;84
False;;(9, 23);;(10, 22);1;85
False;;(9, 23);;(10, 22);1;86
False;;(9, 23);;(10, 22);1;87
False;;(9, 23);;(10, 22);1;88
False;;(9, 23);;(10, 22);1;89
False;;(9, 23);;(10, 22);1;90
False;;(9, 23);;(10, 22);1;91
False;;(9, 23);;(10, 22);1;92
False;;(9, 23);;(10, 22);1;93
False;;(9, 23);;(10, 22);1;94
False;;(9, 23);;(10, 22);1;95
False;;(9, 23);;(10, 22);1;96
False;;(9, 23);;(10, 22);1;97
False;;(9, 23);;(10, 22);1;98
False;;(9, 23);;(10, 22);1;99
False;;(9, 23);;(10, 22);1;100
False;;(9, 23);;(10, 22);1;101
False;;(9, 23);;(10, 22);1;102
False;;(9, 23);;(10, 22);1;103
False;;(9, 23);;(10, 22);1;104
False;;(9, 23);;(10, 22);1;105
False;;(9, 23);;(10, 22);1;106
False;;(9, 23);;(10, 22);1;107
False;;(9, 23);;(10, 22);1;108
False;;(9, 23);;(10, 22);1;109
False;;(9, 23);;(10, 22);1;110
False;;(9, 23);;(10, 22);1;111
False;;(9, 23);;(10, 22);1;112
False;;(9, 23);;(10, 22);1;113
False;;(9, 23);;(10, 22);1;114
False;;(9, 23);;(10, 22);1;115
False;;(9, 23);;(10, 22);1;116
False;;(9, 23);;(10, 22);1;117
False;;(9, 23);;(10, 22);1;118
False;;(9, 23);;(10, 22);1;119
False;;(9, 23);;(10, 22);1;120
False;;(9, 23);;(10, 22);1;121
False;;(9, 23);;(10, 22);1;122
False;;(9, 23);;(10, 22);1;123
False;;(9, 23);;(10, 22);1;124
False;;(9, 23);;(10, 22);1;125
False;;(9, 23);;(10, 22);1;126
False;;(9, 23);;(10, 22);1;127
False;;(9, 23);;(10, 22);1;128
False;;(9, 23);;(10, 22);1;129
False;;(9, 23);;(10, 22);1;130
False;;(9, 23);;(10, 22);1;131
False;;(9, 23);;(10, 22);1;132
False;;(9, 23);;(10, 22);1;133
False;;(9, 23);;(10, 22);1;134
False;;(9, 23);;(10, 22);1;135
False;;(9, 23);;(10, 22);1;136
False;;(9, 23);;(10, 22);1;137
False;;(9, 23);;(10, 22);1;138
False;;(9, 23);;(10, 22);1;139
False;;(9, 23);;(10, 22);1;140
False;;(9, 23);;(10, 22);1;141
False;;(9, 23);;(10, 22);1;142
False;;(9, 23);;(10, 22);1;143
False;;(9, 23);;(10, 22);1;144
False;;(9, 23);;(10, 22);1;145
False;;(9, 23);;(10, 22);1;146
False;;(9, 23);;(10, 22);1;147
False;;(9, 23);;(10, 22);1;148
False;;(9, 23);;(10, 22);1;149
False;;(9, 23);;(10, 22);1;150
False;;(9, 23);;(10, 22);1;151
