total_number_messages_human;total_number_messages_agent;average_message_length_human;average_message_length_agent;world_nr;tick_nr
0;0;nan;nan;1;0
0;0;nan;nan;1;1
0;1;nan;128.0;1;2
0;1;nan;128.0;1;3
0;1;nan;128.0;1;4
0;1;nan;128.0;1;5
0;1;nan;128.0;1;6
0;1;nan;128.0;1;7
0;1;nan;128.0;1;8
0;1;nan;128.0;1;9
0;1;nan;128.0;1;10
0;1;nan;128.0;1;11
0;1;nan;128.0;1;12
0;1;nan;128.0;1;13
0;1;nan;128.0;1;14
0;1;nan;128.0;1;15
0;1;nan;128.0;1;16
0;1;nan;128.0;1;17
0;1;nan;128.0;1;18
0;1;nan;128.0;1;19
0;1;nan;128.0;1;20
0;1;nan;128.0;1;21
0;1;nan;128.0;1;22
0;1;nan;128.0;1;23
0;1;nan;128.0;1;24
0;1;nan;128.0;1;25
0;1;nan;128.0;1;26
0;1;nan;128.0;1;27
0;1;nan;128.0;1;28
0;1;nan;128.0;1;29
0;1;nan;128.0;1;30
0;1;nan;128.0;1;31
0;1;nan;128.0;1;32
0;1;nan;128.0;1;33
0;1;nan;128.0;1;34
0;1;nan;128.0;1;35
0;1;nan;128.0;1;36
1;1;1.0;128.0;1;37
1;1;1.0;128.0;1;38
1;1;1.0;128.0;1;39
1;1;1.0;128.0;1;40
1;1;1.0;128.0;1;41
1;1;1.0;128.0;1;42
1;1;1.0;128.0;1;43
1;1;1.0;128.0;1;44
1;1;1.0;128.0;1;45
1;1;1.0;128.0;1;46
1;1;1.0;128.0;1;47
1;1;1.0;128.0;1;48
1;1;1.0;128.0;1;49
1;1;1.0;128.0;1;50
1;1;1.0;128.0;1;51
1;1;1.0;128.0;1;52
1;1;1.0;128.0;1;53
1;1;1.0;128.0;1;54
1;1;1.0;128.0;1;55
1;2;1.0;66.0;1;56
1;2;1.0;66.0;1;57
1;2;1.0;66.0;1;58
1;2;1.0;66.0;1;59
1;2;1.0;66.0;1;60
1;2;1.0;66.0;1;61
1;2;1.0;66.0;1;62
1;2;1.0;66.0;1;63
1;2;1.0;66.0;1;64
1;2;1.0;66.0;1;65
1;2;1.0;66.0;1;66
1;2;1.0;66.0;1;67
1;2;1.0;66.0;1;68
1;2;1.0;66.0;1;69
1;2;1.0;66.0;1;70
1;2;1.0;66.0;1;71
1;2;1.0;66.0;1;72
1;2;1.0;66.0;1;73
1;2;1.0;66.0;1;74
