total_number_messages_human;total_number_messages_agent;average_message_length_human;average_message_length_agent;world_nr;tick_nr
0;0;nan;nan;1;0
0;0;nan;nan;1;1
0;1;nan;156.0;1;2
0;1;nan;156.0;1;3
0;1;nan;156.0;1;4
0;1;nan;156.0;1;5
0;1;nan;156.0;1;6
0;1;nan;156.0;1;7
0;1;nan;156.0;1;8
0;1;nan;156.0;1;9
0;1;nan;156.0;1;10
0;1;nan;156.0;1;11
0;1;nan;156.0;1;12
0;1;nan;156.0;1;13
0;1;nan;156.0;1;14
0;1;nan;156.0;1;15
0;1;nan;156.0;1;16
0;1;nan;156.0;1;17
0;1;nan;156.0;1;18
0;1;nan;156.0;1;19
0;1;nan;156.0;1;20
0;1;nan;156.0;1;21
0;1;nan;156.0;1;22
0;1;nan;156.0;1;23
0;1;nan;156.0;1;24
0;1;nan;156.0;1;25
0;1;nan;156.0;1;26
0;1;nan;156.0;1;27
0;1;nan;156.0;1;28
0;1;nan;156.0;1;29
0;1;nan;156.0;1;30
0;1;nan;156.0;1;31
0;1;nan;156.0;1;32
0;1;nan;156.0;1;33
0;1;nan;156.0;1;34
0;1;nan;156.0;1;35
0;1;nan;156.0;1;36
0;1;nan;156.0;1;37
0;1;nan;156.0;1;38
0;1;nan;156.0;1;39
0;1;nan;156.0;1;40
0;1;nan;156.0;1;41
0;1;nan;156.0;1;42
0;1;nan;156.0;1;43
0;1;nan;156.0;1;44
0;1;nan;156.0;1;45
0;1;nan;156.0;1;46
0;1;nan;156.0;1;47
0;1;nan;156.0;1;48
0;1;nan;156.0;1;49
0;1;nan;156.0;1;50
0;1;nan;156.0;1;51
0;1;nan;156.0;1;52
0;1;nan;156.0;1;53
0;1;nan;156.0;1;54
0;1;nan;156.0;1;55
0;1;nan;156.0;1;56
0;1;nan;156.0;1;57
0;1;nan;156.0;1;58
0;1;nan;156.0;1;59
0;1;nan;156.0;1;60
0;1;nan;156.0;1;61
0;1;nan;156.0;1;62
0;1;nan;156.0;1;63
0;1;nan;156.0;1;64
0;1;nan;156.0;1;65
0;1;nan;156.0;1;66
0;1;nan;156.0;1;67
0;1;nan;156.0;1;68
0;1;nan;156.0;1;69
0;1;nan;156.0;1;70
0;1;nan;156.0;1;71
0;1;nan;156.0;1;72
1;1;1.0;156.0;1;73
1;2;1.0;82.5;1;74
1;2;1.0;82.5;1;75
1;2;1.0;82.5;1;76
1;2;1.0;82.5;1;77
1;2;1.0;82.5;1;78
1;2;1.0;82.5;1;79
1;2;1.0;82.5;1;80
1;2;1.0;82.5;1;81
1;2;1.0;82.5;1;82
1;2;1.0;82.5;1;83
1;2;1.0;82.5;1;84
1;2;1.0;82.5;1;85
1;2;1.0;82.5;1;86
1;2;1.0;82.5;1;87
1;2;1.0;82.5;1;88
1;2;1.0;82.5;1;89
1;2;1.0;82.5;1;90
1;2;1.0;82.5;1;91
1;2;1.0;82.5;1;92
1;2;1.0;82.5;1;93
1;2;1.0;82.5;1;94
1;2;1.0;82.5;1;95
1;2;1.0;82.5;1;96
1;2;1.0;82.5;1;97
1;2;1.0;82.5;1;98
1;2;1.0;82.5;1;99
1;2;1.0;82.5;1;100
1;2;1.0;82.5;1;101
1;2;1.0;82.5;1;102
1;2;1.0;82.5;1;103
1;2;1.0;82.5;1;104
1;3;1.0;61.33;1;105
1;3;1.0;61.33;1;106
1;3;1.0;61.33;1;107
1;3;1.0;61.33;1;108
1;3;1.0;61.33;1;109
1;3;1.0;61.33;1;110
1;3;1.0;61.33;1;111
1;3;1.0;61.33;1;112
1;3;1.0;61.33;1;113
1;3;1.0;61.33;1;114
1;3;1.0;61.33;1;115
1;3;1.0;61.33;1;116
1;3;1.0;61.33;1;117
1;3;1.0;61.33;1;118
1;3;1.0;61.33;1;119
1;3;1.0;61.33;1;120
1;3;1.0;61.33;1;121
1;3;1.0;61.33;1;122
1;3;1.0;61.33;1;123
1;3;1.0;61.33;1;124
1;3;1.0;61.33;1;125
1;3;1.0;61.33;1;126
1;3;1.0;61.33;1;127
1;3;1.0;61.33;1;128
1;3;1.0;61.33;1;129
1;3;1.0;61.33;1;130
1;3;1.0;61.33;1;131
1;3;1.0;61.33;1;132
1;3;1.0;61.33;1;133
1;3;1.0;61.33;1;134
1;3;1.0;61.33;1;135
1;3;1.0;61.33;1;136
1;3;1.0;61.33;1;137
1;3;1.0;61.33;1;138
1;3;1.0;61.33;1;139
1;3;1.0;61.33;1;140
1;3;1.0;61.33;1;141
1;3;1.0;61.33;1;142
1;3;1.0;61.33;1;143
1;3;1.0;61.33;1;144
1;3;1.0;61.33;1;145
1;3;1.0;61.33;1;146
1;3;1.0;61.33;1;147
1;3;1.0;61.33;1;148
1;3;1.0;61.33;1;149
1;3;1.0;61.33;1;150
1;3;1.0;61.33;1;151
1;3;1.0;61.33;1;152
1;3;1.0;61.33;1;153
1;3;1.0;61.33;1;154
1;3;1.0;61.33;1;155
1;3;1.0;61.33;1;156
1;3;1.0;61.33;1;157
1;3;1.0;61.33;1;158
1;3;1.0;61.33;1;159
1;3;1.0;61.33;1;160
1;3;1.0;61.33;1;161
1;3;1.0;61.33;1;162
1;3;1.0;61.33;1;163
1;3;1.0;61.33;1;164
1;3;1.0;61.33;1;165
1;3;1.0;61.33;1;166
