total_number_messages_human;total_number_messages_agent;average_message_length_human;average_message_length_agent;ignored;trustPhase;trustValue;noIgnored;noSuggestions;workload;timePressure;taskSeverity;taskSwitch;occupiedTime;complySpeed;performanceGap;responseTime;searchTookLong;world_nr;tick_nr
0;0;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;-1;-1;-1;1;0
0;0;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;-1;-1;-1;1;1
0;1;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0;-1;-1;1;2
0;2;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.00020833333333333335;-1;-1;1;3
0;3;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0004166666666666667;-1;-1;1;4
0;4;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0006250000000000001;-1;-1;1;5
0;5;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0008333333333333334;-1;-1;1;6
0;6;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0010416666666666667;-1;-1;1;7
0;7;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0012500000000000002;-1;-1;1;8
0;8;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0014583333333333334;-1;-1;1;9
0;9;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0016666666666666668;-1;-1;1;10
0;10;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0018750000000000001;-1;-1;1;11
0;11;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0020833333333333333;-1;-1;1;12
0;12;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0022916666666666667;-1;-1;1;13
0;13;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0025000000000000005;-1;-1;1;14
0;14;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0027083333333333334;-1;-1;1;15
0;15;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.002916666666666667;-1;-1;1;16
0;16;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.003125;-1;-1;1;17
0;17;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0033333333333333335;-1;-1;1;18
