total_number_messages_human;total_number_messages_agent;average_message_length_human;average_message_length_agent;ignored;trustPhase;trustValue;noIgnored;noSuggestions;workload;timePressure;taskSeverity;taskSwitch;occupiedTime;world_nr;tick_nr
0;0;0;0;0;2;0.25;0;0;0;0;0;0;0;1;0
0;0;0;0;0;2;0.25;0;0;0;0;0;0;0;1;1
0;1;0;0;0;2;0.25;0;0;0;0;0;0;0;1;2
0;2;0;0;0;2;0.25;0;0;0;0;0;0;0;1;3
0;3;0;0;0;2;0.25;0;0;0;0;0;0;0;1;4
0;4;0;0;0;2;0.25;0;0;0;0;0;0;0;1;5
0;5;0;0;0;2;0.25;0;0;0;0;0;0;0;1;6
0;6;0;0;0;2;0.25;0;0;0;0;0;0;0;1;7
0;7;0;0;0;2;0.25;0;0;0;0;0;0;0;1;8
0;8;0;0;0;2;0.25;0;0;0;0;0;0;0;1;9
0;9;0;0;0;2;0.25;0;0;0;0;0;0;0;1;10
0;10;0;0;0;2;0.25;0;0;0;0;0;0;0;1;11
0;11;0;0;0;2;0.25;0;0;0;0;0;0;0;1;12
0;12;0;0;0;2;0.25;0;0;0;0;0;0;0;1;13
0;13;0;0;0;2;0.25;0;0;0;0;0;0;0;1;14
0;14;0;0;0;2;0.25;0;0;0;0;0;0;0;1;15
0;15;0;0;0;2;0.25;0;0;0;0;0;0;0;1;16
0;16;0;0;0;2;0.25;0;0;0;0;0;0;0;1;17
0;17;0;0;0;2;0.25;0;0;0;0;0;0;0;1;18
0;18;0;0;0;2;0.25;0;0;0;0;0;0;0;1;19
0;19;0;0;0;2;0.25;0;0;0;0;0;0;0;1;20
0;20;0;0;0;2;0.25;0;0;0;0;0;0;0;1;21
0;21;0;0;0;2;0.25;0;0;0;0;0;0;0;1;22
0;22;0;0;0;2;0.25;0;0;0;0;0;0;0;1;23
0;23;0;0;0;2;0.25;0;0;0;0;0;0;0;1;24
0;24;0;0;0;2;0.25;0;0;0;0;0;0;0;1;25
0;25;0;0;0;2;0.25;0;0;0;0;0;0;0;1;26
0;26;0;0;0;2;0.25;0;0;0;0;0;0;0;1;27
0;27;0;0;0;2;0.25;0;0;0;0;0;0;0;1;28
0;28;0;0;0;2;0.25;0;0;0;0;0;0;0;1;29
0;29;0;0;0;2;0.25;0;0;0;0;0;0;0;1;30
0;30;0;0;0;2;0.25;0;0;0;0;0;0;0;1;31
0;31;0;0;0;2;0.25;0;0;0;0;0;0;0;1;32
0;32;0;0;0;2;0.25;0;0;0;0;0;0;0;1;33
0;33;0;0;0;2;0.25;0;0;0;0;0;0;0;1;34
0;34;0;0;0;2;0.25;0;0;0;0;0;0;0;1;35
0;35;0;0;0;2;0.25;0;0;0;0;0;0;0;1;36
0;36;0;0;0;2;0.25;0;0;0;0;0;0;0;1;37
0;37;0;0;0;2;0.25;0;0;0;0;0;0;0;1;38
0;38;0;0;0;2;0.25;0;0;0;0;0;0;0;1;39
0;39;0;0;0;2;0.25;0;0;0;0;0;0;0;1;40
0;40;0;0;0;2;0.25;0;0;0;0;0;0;0;1;41
0;41;0;0;0;2;0.25;0;0;0;0;0;0;0;1;42
0;42;0;0;0;2;0.25;0;0;0;0;0;0;0;1;43
0;43;0;0;0;2;0.25;0;0;0;0;0;0;0;1;44
0;44;0;0;0;2;0.25;0;0;0;0;0;0;0;1;45
0;45;0;0;0;2;0.25;0;0;0;0;0;0;0;1;46
0;46;0;0;0;2;0.25;0;0;0;0;0;0;0;1;47
0;47;0;0;0;2;0.25;0;0;0;0;0;0;0;1;48
0;48;0;0;0;2;0.25;0;0;0;0;0;0;0;1;49
0;49;0;0;0;2;0.25;0;0;0;0;0;0;0;1;50
0;50;0;0;0;2;0.25;0;0;0;0;0;0;0;1;51
0;51;0;0;0;2;0.25;0;0;0;0;0;0;0;1;52
0;52;0;0;0;2;0.25;0;0;0;0;0;0;0;1;53
0;53;0;0;0;2;0.25;0;0;0;0;0;0;0;1;54
0;54;0;0;0;2;0.25;0;0;0;0;0;0;0;1;55
0;55;0;0;0;2;0.25;0;0;0;0;0;0;0;1;56
0;56;0;0;0;2;0.25;0;0;0;0;0;0;0;1;57
0;57;0;0;0;2;0.25;0;0;0;0;0;0;0;1;58
0;58;0;0;0;2;0.25;0;0;0;0;0;0;0;1;59
0;59;0;0;0;2;0.25;0;0;0;0;0;0;0;1;60
0;60;0;0;0;2;0.25;0;0;0;0;0;0;0;1;61
0;61;0;0;0;2;0.25;0;0;0;0;0;0;0;1;62
0;62;0;0;0;2;0.25;0;0;0;0;0;0;0;1;63
0;63;0;0;0;2;0.25;0;0;0;0;0;0;0;1;64
1;64;0;0;0;2;0.25;0;0;0;0;0;0;0;1;65
1;65;0;0;0;2;0.25;0;0;0;0;0;0;0;1;66
1;67;0;0;0;2;0.25;0;0;0;0;0;0;0;1;67
1;67;0;0;0;2;0.25;0;0;0;0;0;0;0;1;68
1;67;0;0;0;2;0.25;0;0;0;0;0;0;0;1;69
1;67;0;0;0;2;0.25;0;0;0;0;0;0;0;1;70
1;67;0;0;0;2;0.25;0;0;0;0;0;0;0;1;71
1;67;0;0;0;2;0.25;0;0;0;0;0;0;0;1;72
1;67;0;0;0;2;0.25;0;0;0;0;0;0;0;1;73
1;67;0;0;0;2;0.25;0;0;0;0;0;0;0;1;74
1;67;0;0;0;2;0.25;0;0;0;0;0;0;0;1;75
1;68;0;0;0;2;0.25;0;0;0;0;0;0;0;1;76
1;68;0;0;0;2;0.25;0;0;0;0;0;0;0;1;77
1;68;0;0;0;2;0.25;0;0;0;0;0;0;0;1;78
1;68;0;0;0;2;0.25;0;0;0;0;0;0;0;1;79
1;68;0;0;0;2;0.25;0;0;0;0;0;0;0;1;80
1;68;0;0;0;2;0.25;0;0;0;0;0;0;0;1;81
1;68;0;0;0;2;0.25;0;0;0;0;0;0;0;1;82
1;68;0;0;0;2;0.25;0;0;0;0;0;0;0;1;83
1;68;0;0;0;2;0.25;0;0;0;0;0;0;0;1;84
1;69;0;0;0;2;0.25;0;0;0;0;0;0;0;1;85
1;69;0;0;0;2;0.25;0;0;0;0;0;0;0;1;86
1;69;0;0;0;2;0.25;0;0;0;0;0;0;0;1;87
1;69;0;0;0;2;0.25;0;0;0;0;0;0;0;1;88
1;69;0;0;0;2;0.25;0;0;0;0;0;0;0;1;89
1;69;0;0;0;2;0.25;0;0;0;0;0;0;0;1;90
1;69;0;0;0;2;0.25;0;0;0;0;0;0;0;1;91
1;69;0;0;0;2;0.25;0;0;0;0;0;0;0;1;92
1;69;0;0;0;2;0.25;0;0;0;0;0;0;0;1;93
1;70;0;0;0;2;0.25;0;0;0;0;0;0;0;1;94
1;70;0;0;0;2;0.25;0;0;0;0;0;0;0;1;95
1;70;0;0;0;2;0.25;0;0;0;0;0;0;0;1;96
1;70;0;0;0;2;0.25;0;0;0;0;0;0;0;1;97
1;70;0;0;0;2;0.25;0;0;0;0;0;0;0;1;98
1;70;0;0;0;2;0.25;0;0;0;0;0;0;0;1;99
1;70;0;0;0;2;0.25;0;0;0;0;0;0;0;1;100
1;70;0;0;0;2;0.25;0;0;0;0;0;0;0;1;101
1;70;0;0;0;2;0.25;0;0;0;0;0;0;0;1;102
1;71;0;0;0;2;0.25;0;0;0;0;0;0;0;1;103
1;71;0;0;0;2;0.25;0;0;0;0;0;0;0;1;104
1;71;0;0;0;2;0.25;0;0;0;0;0;0;0;1;105
1;71;0;0;0;2;0.25;0;0;0;0;0;0;0;1;106
1;71;0;0;0;2;0.25;0;0;0;0;0;0;0;1;107
1;71;0;0;0;2;0.25;0;0;0;0;0;0;0;1;108
1;71;0;0;0;2;0.25;0;0;0;0;0;0;0;1;109
1;71;0;0;0;2;0.25;0;0;0;0;0;0;0;1;110
1;71;0;0;0;2;0.25;0;0;0;0;0;0;0;1;111
1;72;0;0;0;2;0.25;0;0;0;0;0;0;0;1;112
1;72;0;0;0;2;0.25;0;0;0;0;0;0;0;1;113
1;72;0;0;0;2;0.25;0;0;0;0;0;0;0;1;114
1;72;0;0;0;2;0.25;0;0;0;0;0;0;0;1;115
1;72;0;0;0;2;0.25;0;0;0;0;0;0;0;1;116
1;72;0;0;0;2;0.25;0;0;0;0;0;0;0;1;117
1;72;0;0;0;2;0.25;0;0;0;0;0;0;0;1;118
1;72;0;0;0;2;0.25;0;0;0;0;0;0;0;1;119
1;72;0;0;0;2;0.25;0;0;0;0;0;0;0;1;120
1;73;0;0;0;2;0.25;0;0;0;0;0;0;0;1;121
1;73;0;0;0;2;0.25;0;0;0;0;0;0;0;1;122
1;73;0;0;0;2;0.25;0;0;0;0;0;0;0;1;123
1;73;0;0;0;2;0.25;0;0;0;0;0;0;0;1;124
1;73;0;0;0;2;0.25;0;0;0;0;0;0;0;1;125
1;73;0;0;0;2;0.25;0;0;0;0;0;0;0;1;126
1;73;0;0;0;2;0.25;0;0;0;0;0;0;0;1;127
1;73;0;0;0;2;0.25;0;0;0;0;0;0;0;1;128
1;73;0;0;0;2;0.25;0;0;0;0;0;0;0;1;129
1;74;0;0;0;2;0.25;0;0;0;0;0;0;0;1;130
1;74;0;0;0;2;0.25;0;0;0;0;0;0;0;1;131
1;74;0;0;0;2;0.25;0;0;0;0;0;0;0;1;132
1;74;0;0;0;2;0.25;0;0;0;0;0;0;0;1;133
1;74;0;0;0;2;0.25;0;0;0;0;0;0;0;1;134
1;74;0;0;0;2;0.25;0;0;0;0;0;0;0;1;135
1;74;0;0;0;2;0.25;0;0;0;0;0;0;0;1;136
1;74;0;0;0;2;0.25;0;0;0;0;0;0;0;1;137
1;74;0;0;0;2;0.25;0;0;0;0;0;0;0;1;138
1;75;0;0;0;2;0.25;0;0;0;0;0;0;0;1;139
1;75;0;0;0;2;0.25;0;0;0;0;0;0;0;1;140
1;75;0;0;0;2;0.25;0;0;0;0;0;0;0;1;141
1;75;0;0;0;2;0.25;0;0;0;0;0;0;0;1;142
1;75;0;0;0;2;0.25;0;0;0;0;0;0;0;1;143
1;75;0;0;0;2;0.25;0;0;0;0;0;0;0;1;144
1;75;0;0;0;2;0.25;0;0;0;0;0;0;0;1;145
1;75;0;0;0;2;0.25;0;0;0;0;0;0;0;1;146
1;75;0;0;0;2;0.25;0;0;0;0;0;0;0;1;147
1;76;0;0;0;2;0.25;0;0;0;0;0;0;0;1;148
1;76;0;0;0;2;0.25;0;0;0;0;0;0;0;1;149
